ORDERID,ORDERDATE,SHIPDATE,SHIPMODE,CUSTOMERID,PRODUCTID,ORDERCOSTPRICE,ORDERSELLINGPRICE
971,2019/01/16,2019/01/18,Second Class,DL-13315,FUR-FU-10001095,89,127.0
972,2019/01/16,2019/01/18,Second Class,DL-13315,TEC-PH-10004614,62,124.0
973,2019/01/16,2019/01/18,Second Class,DL-13315,OFF-BI-10001575,9,19.0
974,2019/01/16,2019/01/18,Second Class,DL-13315,OFF-LA-10001074,18,30.0
975,2022/10/05,2022/10/08,Second Class,PO-19195,TEC-PH-10003555,113,161.0
976,2022/10/05,2022/10/08,Second Class,PO-19195,OFF-BI-10004492,53,76.0
977,2022/07/09,2022/07/15,Standard Class,TD-20995,OFF-BI-10002012,1,1.0
978,2022/01/07,2022/01/10,First Class,BW-11110,TEC-MA-10000822,2754,3060.0
979,2021/05/30,2021/05/31,First Class,RW-19690,OFF-BI-10000848,3,3.0
980,2020/12/09,2020/12/12,First Class,KB-16600,OFF-PA-10004156,17,34.0
981,2021/10/03,2021/10/08,Standard Class,EB-13870,FUR-CH-10003199,479,599.0
982,2019/11/11,2019/11/14,Second Class,TZ-21580,OFF-AR-10000034,2,3.0
983,2019/11/11,2019/11/14,Second Class,TZ-21580,TEC-PH-10000560,336,560.0
984,2019/11/11,2019/11/14,Second Class,TZ-21580,FUR-CH-10000665,544,604.0
985,2022/09/29,2022/10/05,Standard Class,AS-10630,OFF-LA-10001569,6,8.0
986,2022/09/29,2022/10/05,Standard Class,AS-10630,OFF-EN-10000461,20,28.0
987,2022/09/29,2022/10/05,Standard Class,AS-10630,TEC-MA-10003066,269,337.0
988,2020/03/10,2020/03/10,Same Day,TS-21340,OFF-BI-10004022,1,1.0
989,2022/05/21,2022/05/26,Standard Class,JG-15805,FUR-FU-10004071,260,520.0
990,2022/05/21,2022/05/26,Standard Class,JG-15805,OFF-AR-10001988,16,18.0
991,2020/03/29,2020/03/31,Second Class,SL-20155,FUR-CH-10004086,1050,1167.0
992,2021/09/09,2021/09/11,First Class,TS-21610,OFF-BI-10001036,12,15.0
993,2021/08/26,2021/08/27,First Class,RF-19735,OFF-FA-10002983,8,10.0
994,2021/08/26,2021/08/27,First Class,RF-19735,OFF-PA-10003625,139,155.0
995,2019/05/21,2019/05/25,Standard Class,MW-18235,OFF-BI-10003925,1630,2716.0
996,2019/05/21,2019/05/25,Standard Class,MW-18235,TEC-PH-10001530,371,618.0
997,2020/10/28,2020/11/03,Standard Class,RD-19585,OFF-EN-10003862,6,11.0
998,2020/10/28,2020/11/03,Standard Class,RD-19585,OFF-ST-10004258,26,37.0
999,2020/10/28,2020/11/03,Standard Class,RD-19585,FUR-FU-10002885,22,24.0
1000,2020/10/28,2020/11/03,Standard Class,RD-19585,FUR-FU-10001918,26,33.0
1001,2021/11/13,2021/11/17,Standard Class,FM-14290,OFF-AR-10002956,26,44.0
1002,2020/07/31,2020/07/31,Same Day,RH-19495,TEC-AC-10003033,1617,2310.0
1003,2020/07/31,2020/07/31,Same Day,RH-19495,FUR-TA-10002903,873,1091.0
1004,2020/07/31,2020/07/31,Same Day,RH-19495,OFF-PA-10004621,10,19.0
1005,2020/08/27,2020/08/31,Standard Class,RA-19945,OFF-ST-10000046,242,485.0
1006,2020/11/13,2020/11/17,Standard Class,JK-15730,OFF-PA-10001790,58,115.0
1007,2020/11/06,2020/11/09,First Class,MT-17815,OFF-EN-10002600,4,7.0
1008,2020/11/06,2020/11/09,First Class,MT-17815,OFF-BI-10002049,3,4.0
1009,2022/12/26,2023/01/01,Standard Class,PO-18850,OFF-PA-10001509,22,45.0
1010,2022/08/01,2022/08/03,First Class,AT-10735,TEC-PH-10003931,67,96.0
1011,2019/11/24,2019/11/26,First Class,VG-21790,FUR-FU-10001602,121,152.0
1012,2022/06/17,2022/06/21,Second Class,PF-19165,FUR-FU-10004848,140,155.0
1013,2022/06/17,2022/06/21,Second Class,PF-19165,OFF-ST-10003722,13,14.0
1014,2020/12/21,2020/12/24,Second Class,JS-15880,FUR-TA-10003748,971,1618.0
1015,2020/12/21,2020/12/24,Second Class,JS-15880,TEC-AC-10003198,90,100.0
1016,2020/09/17,2020/09/19,Second Class,MO-17800,OFF-PA-10004100,16,32.0
1017,2020/07/06,2020/07/10,Standard Class,KM-16225,FUR-FU-10002191,10,14.0
1018,2020/07/06,2020/07/10,Standard Class,KM-16225,FUR-FU-10000965,140,156.0
1019,2020/07/06,2020/07/10,Standard Class,KM-16225,TEC-PH-10004188,100,125.0
1020,2020/07/06,2020/07/10,Standard Class,KM-16225,OFF-ST-10001526,421,602.0
1021,2020/04/27,2020/05/03,Standard Class,GT-14710,OFF-AR-10001166,16,23.0
1022,2020/04/27,2020/05/03,Standard Class,GT-14710,FUR-CH-10000309,887,1268.0
1023,2020/04/27,2020/05/03,Standard Class,GT-14710,TEC-MA-10004212,1104,1380.0
1024,2020/06/16,2020/06/20,Standard Class,PB-19150,OFF-EN-10003072,5,6.0
1025,2022/12/17,2022/12/20,First Class,HR-14770,OFF-BI-10000320,8,12.0
1026,2021/01/11,2021/01/13,Second Class,DE-13255,OFF-PA-10001166,12,16.0
1027,2021/01/11,2021/01/13,Second Class,DE-13255,OFF-PA-10003656,57,63.0
1028,2021/01/11,2021/01/13,Second Class,DE-13255,TEC-PH-10000148,9,16.0
1029,2019/07/11,2019/07/15,Standard Class,LA-16780,OFF-PA-10000474,89,177.0
1030,2019/07/11,2019/07/15,Standard Class,LA-16780,TEC-PH-10003885,158,198.0
1031,2019/07/11,2019/07/15,Standard Class,LA-16780,FUR-CH-10003379,427,855.0
1032,2019/07/11,2019/07/15,Standard Class,LA-16780,FUR-FU-10000629,112,124.0
1033,2019/07/11,2019/07/15,Standard Class,LA-16780,OFF-LA-10001175,13,14.0
1034,2021/11/20,2021/11/22,First Class,AG-10390,OFF-PA-10000955,13,16.0
1035,2021/11/20,2021/11/22,First Class,AG-10390,OFF-BI-10003460,2,3.0
1036,2021/11/20,2021/11/22,First Class,AG-10390,OFF-BI-10000474,7,14.0
1037,2021/04/22,2021/04/26,Standard Class,EL-13735,FUR-FU-10003975,78,87.0
1038,2020/06/13,2020/06/14,First Class,JJ-15445,OFF-BI-10003707,26,37.0
1039,2022/11/20,2022/11/21,First Class,JH-15430,OFF-AR-10000203,14,24.0
1040,2022/11/20,2022/11/21,First Class,JH-15430,OFF-AR-10004790,14,29.0
1041,2021/03/20,2021/03/24,Standard Class,RD-19660,FUR-TA-10001095,558,697.0
1042,2021/09/06,2021/09/09,Second Class,MO-17500,TEC-AC-10004761,16,32.0
1043,2021/09/06,2021/09/09,Second Class,MO-17500,FUR-BO-10001811,433,722.0
1044,2022/07/09,2022/07/12,First Class,NS-18640,OFF-AR-10001130,7,9.0
1045,2022/07/09,2022/07/12,First Class,NS-18640,OFF-AP-10000055,41,58.0
1046,2022/10/12,2022/10/16,Standard Class,SN-20710,FUR-CH-10002304,204,255.0
1047,2021/03/08,2021/03/13,Standard Class,ZC-21910,TEC-PH-10001530,1091,1364.0
1048,2021/03/08,2021/03/13,Standard Class,ZC-21910,FUR-FU-10004006,72,102.0
1049,2019/05/27,2019/06/01,Second Class,LC-16885,TEC-PH-10000486,668,1114.0
1050,2019/05/27,2019/06/01,Second Class,LC-16885,TEC-AC-10001606,70,100.0
1051,2020/07/03,2020/07/05,First Class,DG-13300,FUR-FU-10000293,84,168.0
1052,2020/07/03,2020/07/05,First Class,DG-13300,OFF-PA-10001307,6,7.0
1053,2020/07/03,2020/07/05,First Class,DG-13300,FUR-FU-10004460,170,283.0
1054,2020/04/04,2020/04/08,Standard Class,NF-18595,OFF-AR-10000716,9,11.0
1055,2020/04/04,2020/04/08,Standard Class,NF-18595,FUR-FU-10004622,87,108.0
1056,2020/04/04,2020/04/08,Standard Class,NF-18595,OFF-BI-10002735,66,82.0
1057,2020/04/04,2020/04/08,Standard Class,NF-18595,OFF-BI-10003529,6,9.0
1058,2022/12/10,2022/12/17,Standard Class,BP-11185,OFF-BI-10001097,16,20.0
1059,2022/12/10,2022/12/17,Standard Class,BP-11185,OFF-BI-10001597,46,66.0
1060,2021/11/24,2021/12/01,Standard Class,MG-17650,OFF-FA-10001754,4,4.0
1061,2020/03/23,2020/03/29,Standard Class,JD-16060,FUR-CH-10003396,86,108.0
1062,2020/04/16,2020/04/21,Standard Class,TS-21160,OFF-AP-10002350,41,45.0
1063,2020/04/16,2020/04/21,Standard Class,TS-21160,OFF-FA-10004838,6,10.0
1065,2020/04/16,2020/04/21,Standard Class,TS-21160,TEC-PH-10002115,83,119.0
1066,2020/04/16,2020/04/21,Standard Class,TS-21160,OFF-FA-10003059,1,1.0
1067,2020/04/16,2020/04/21,Standard Class,TS-21160,OFF-BI-10004330,50,55.0
1068,2021/10/01,2021/10/02,First Class,BD-11620,FUR-CH-10001146,136,195.0
1069,2022/09/28,2022/09/30,Second Class,CM-12160,OFF-SU-10001935,2,2.0
1070,2020/07/25,2020/07/29,Standard Class,RB-19795,OFF-BI-10001524,20,25.0
1071,2020/11/20,2020/11/26,Standard Class,SN-20560,OFF-AR-10003732,14,19.0
1072,2021/04/28,2021/05/02,Standard Class,EH-14005,OFF-PA-10001970,24,29.0
1073,2022/11/14,2022/11/19,Standard Class,FO-14305,OFF-BI-10003669,4,9.0
1074,2021/11/12,2021/11/19,Standard Class,MS-17710,OFF-BI-10003727,4,6.0
1075,2021/11/12,2021/11/19,Standard Class,MS-17710,OFF-BI-10004967,4,4.0
1076,2021/11/12,2021/11/19,Standard Class,MS-17710,TEC-AC-10003447,22,32.0
1077,2021/09/29,2021/09/30,First Class,CC-12100,OFF-AR-10000255,25,41.0
1078,2022/09/23,2022/09/25,Second Class,DW-13540,OFF-AP-10002191,96,120.0
1080,2022/09/23,2022/09/25,Second Class,DW-13540,OFF-BI-10000404,3,7.0
1081,2020/11/29,2020/12/04,Standard Class,BT-11395,OFF-PA-10000349,16,20.0
1082,2020/11/29,2020/12/04,Standard Class,BT-11395,FUR-CH-10002880,775,1107.0
1083,2021/03/01,2021/03/05,Standard Class,KD-16270,FUR-TA-10001095,586,837.0
1084,2021/03/01,2021/03/05,Standard Class,KD-16270,OFF-PA-10003127,24,26.0
1085,2021/03/01,2021/03/05,Standard Class,KD-16270,OFF-ST-10003208,218,363.0
1086,2021/03/01,2021/03/05,Standard Class,KD-16270,TEC-MA-10003979,2940,4900.0
1087,2021/08/12,2021/08/12,Same Day,LC-16870,OFF-PA-10000029,4,6.0
1088,2021/08/15,2021/08/20,Second Class,CY-12745,TEC-PH-10004896,58,72.0
1089,2021/08/15,2021/08/20,Second Class,CY-12745,OFF-LA-10000452,2,3.0
1090,2022/06/04,2022/06/10,Standard Class,LW-16990,FUR-FU-10001967,22,32.0
1091,2022/06/04,2022/06/10,Standard Class,LW-16990,TEC-PH-10001819,58,72.0
1092,2020/12/06,2020/12/13,Standard Class,NP-18325,OFF-AR-10002952,96,120.0
1093,2020/12/06,2020/12/13,Standard Class,NP-18325,TEC-PH-10000576,175,219.0
1094,2020/12/27,2020/12/31,Standard Class,BT-11485,OFF-PA-10000605,17,29.0
1095,2020/12/27,2020/12/31,Standard Class,BT-11485,OFF-AP-10002518,285,356.0
1096,2022/01/21,2022/01/26,Standard Class,PS-19045,OFF-ST-10004340,313,348.0
1097,2022/01/21,2022/01/26,Standard Class,PS-19045,OFF-BI-10004001,25,36.0
1098,2019/06/25,2019/06/28,First Class,NS-18640,FUR-TA-10004147,403,448.0
1099,2021/06/14,2021/06/17,First Class,PV-18985,OFF-AR-10001545,4,7.0
1100,2021/06/14,2021/06/17,First Class,PV-18985,FUR-FU-10000206,5,9.0
1101,2021/06/14,2021/06/17,First Class,PV-18985,TEC-AC-10001013,15,29.0
1102,2021/06/14,2021/06/17,First Class,PV-18985,OFF-AR-10002255,7,9.0
1103,2022/04/21,2022/04/27,Standard Class,RP-19390,OFF-BI-10004140,2,3.0
1104,2022/04/21,2022/04/27,Standard Class,RP-19390,OFF-BI-10002049,2,3.0
1105,2021/10/21,2021/10/27,Standard Class,NM-18520,OFF-PA-10001892,21,23.0
1106,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-ST-10000642,50,101.0
1107,2021/11/19,2021/11/24,Standard Class,EH-13945,FUR-FU-10000206,2,2.0
1108,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-BI-10003676,10,11.0
1109,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-FA-10003495,53,58.0
1110,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-EN-10003798,33,41.0
1111,2021/11/19,2021/11/24,Standard Class,EH-13945,TEC-PH-10003589,65,72.0
1112,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-PA-10004735,6,10.0
1113,2021/11/19,2021/11/24,Standard Class,EH-13945,OFF-BI-10002609,1,1.0
1114,2022/12/18,2022/12/23,Second Class,RA-19915,OFF-BI-10003364,33,47.0
1115,2022/12/18,2022/12/23,Second Class,RA-19915,FUR-BO-10002206,108,120.0
1116,2022/12/18,2022/12/23,Second Class,RA-19915,TEC-AC-10003610,72,120.0
1117,2021/07/22,2021/07/24,Second Class,DL-13495,OFF-LA-10003766,6,6.0
1118,2020/09/04,2020/09/08,Standard Class,CS-12355,OFF-PA-10001970,140,280.0
1119,2020/09/04,2020/09/08,Standard Class,CS-12355,TEC-AC-10002049,372,620.0
1120,2020/09/04,2020/09/08,Standard Class,CS-12355,OFF-PA-10000141,2,4.0
1121,2020/09/04,2020/09/08,Standard Class,CS-12355,OFF-EN-10004459,9,15.0
1122,2019/01/20,2019/01/26,Standard Class,HL-15040,TEC-PH-10001061,420,700.0
1123,2019/01/20,2019/01/26,Standard Class,HL-15040,OFF-AR-10002375,11,23.0
1124,2019/01/20,2019/01/26,Standard Class,HL-15040,FUR-FU-10003194,31,39.0
1125,2019/01/20,2019/01/26,Standard Class,HL-15040,OFF-AR-10003811,6,7.0
1126,2019/01/20,2019/01/26,Standard Class,HL-15040,OFF-EN-10001539,14,23.0
1127,2019/01/20,2019/01/26,Standard Class,HL-15040,FUR-CH-10002331,748,1068.0
1128,2020/03/02,2020/03/07,Standard Class,PA-19060,OFF-AR-10003156,7,10.0
1129,2020/03/02,2020/03/07,Standard Class,PA-19060,OFF-EN-10001532,51,102.0
1130,2021/04/12,2021/04/16,Standard Class,BD-11605,FUR-TA-10004086,206,344.0
1131,2021/04/12,2021/04/16,Standard Class,BD-11605,OFF-PA-10000100,25,41.0
1132,2021/04/12,2021/04/16,Standard Class,BD-11605,OFF-EN-10002500,38,64.0
1133,2021/12/06,2021/12/07,First Class,GG-14650,OFF-PA-10004100,18,19.0
1134,2021/06/05,2021/06/09,Standard Class,JS-15940,OFF-ST-10003479,87,125.0
1135,2021/06/05,2021/06/09,Standard Class,JS-15940,OFF-LA-10000973,4,8.0
1136,2021/12/11,2021/12/11,Same Day,LR-16915,OFF-ST-10001476,68,85.0
1137,2021/11/12,2021/11/15,Second Class,FH-14275,OFF-EN-10002831,201,288.0
1138,2021/11/12,2021/11/15,Second Class,FH-14275,OFF-AP-10002350,26,38.0
1139,2021/11/12,2021/11/15,Second Class,FH-14275,OFF-PA-10001763,16,20.0
1140,2021/11/12,2021/11/15,Second Class,FH-14275,OFF-AR-10003394,19,21.0
1141,2021/11/12,2021/11/15,Second Class,FH-14275,OFF-BI-10002072,12,17.0
1142,2019/09/29,2019/10/03,Standard Class,AP-10915,FUR-FU-10004188,184,205.0
1143,2019/09/29,2019/10/03,Standard Class,AP-10915,OFF-FA-10001561,6,9.0
1144,2019/09/29,2019/10/03,Standard Class,AP-10915,OFF-PA-10002105,3,6.0
1145,2019/09/29,2019/10/03,Standard Class,AP-10915,TEC-MA-10004241,412,686.0
1146,2019/09/29,2019/10/03,Standard Class,AP-10915,OFF-ST-10004340,44,62.0
1147,2020/04/04,2020/04/04,Same Day,NC-18340,OFF-AP-10003849,580,644.0
1148,2020/04/04,2020/04/04,Same Day,NC-18340,OFF-FA-10000735,3,6.0
1149,2020/04/04,2020/04/04,Same Day,NC-18340,OFF-BI-10003350,8,13.0
1150,2020/04/04,2020/04/04,Same Day,NC-18340,TEC-PH-10000307,5,11.0
1151,2020/04/04,2020/04/04,Same Day,NC-18340,TEC-CO-10004202,540,600.0
1152,2020/05/08,2020/05/14,Standard Class,CB-12535,FUR-FU-10001852,6,8.0
1153,2021/12/31,2022/01/06,Standard Class,KL-16555,OFF-AR-10003759,2,4.0
1154,2021/12/31,2022/01/06,Standard Class,KL-16555,OFF-BI-10003984,96,160.0
1155,2019/12/20,2019/12/21,First Class,PS-19045,OFF-ST-10004337,86,122.0
1156,2019/12/20,2019/12/21,First Class,PS-19045,FUR-TA-10001932,1571,2244.0
1157,2019/12/20,2019/12/21,First Class,PS-19045,OFF-BI-10003982,56,62.0
1158,2019/12/20,2019/12/21,First Class,PS-19045,FUR-TA-10000617,319,455.0
1159,2021/07/02,2021/07/07,Second Class,GB-14530,FUR-CH-10002126,117,195.0
1160,2022/06/29,2022/07/04,Standard Class,AA-10315,OFF-AP-10000576,181,363.0
1161,2022/06/29,2022/07/04,Standard Class,AA-10315,OFF-BI-10004654,9,12.0
1162,2019/09/01,2019/09/05,Second Class,LT-16765,OFF-AR-10004042,38,54.0
1163,2019/03/03,2019/03/08,Standard Class,AP-10720,TEC-PH-10004700,7,10.0
1164,2019/03/03,2019/03/08,Standard Class,AP-10720,OFF-BI-10004593,101,126.0
1165,2019/03/03,2019/03/08,Standard Class,AP-10720,OFF-BI-10003429,18,25.0
1166,2019/05/04,2019/05/08,Standard Class,PM-18940,OFF-BI-10001294,37,47.0
1167,2020/11/02,2020/11/02,Same Day,KC-16540,TEC-AC-10001552,314,448.0
1168,2022/12/08,2022/12/10,Second Class,DL-13315,FUR-FU-10004952,99,109.0
1169,2022/12/08,2022/12/10,Second Class,DL-13315,OFF-ST-10004123,164,273.0
1170,2022/12/08,2022/12/10,Second Class,DL-13315,OFF-PA-10003172,16,19.0
1171,2022/12/08,2022/12/10,Second Class,DL-13315,OFF-ST-10002352,19,32.0
1172,2019/03/10,2019/03/14,Standard Class,SW-20275,OFF-PA-10002259,20,22.0
1173,2019/04/21,2019/04/25,Standard Class,AA-10375,OFF-BI-10002976,15,17.0
1174,2020/10/22,2020/10/26,Standard Class,LT-17110,OFF-BI-10000301,5,5.0
1175,2020/08/22,2020/08/25,First Class,DP-13105,OFF-BI-10003694,30,50.0
1176,2021/08/29,2021/09/03,Standard Class,AB-10060,OFF-SU-10000381,22,28.0
1177,2019/12/27,2019/12/30,Second Class,AT-10435,OFF-LA-10004425,10,12.0
1178,2021/12/01,2021/12/05,Standard Class,JE-15745,FUR-CH-10001270,86,173.0
1179,2021/12/01,2021/12/05,Standard Class,JE-15745,TEC-PH-10003931,162,180.0
1180,2021/04/24,2021/04/27,Second Class,CA-12055,TEC-AC-10003174,155,259.0
1181,2019/06/21,2019/06/25,Standard Class,DB-13060,TEC-PH-10004539,1191,1323.0
1182,2019/06/21,2019/06/25,Standard Class,DB-13060,OFF-AR-10001919,3,4.0
1183,2022/01/14,2022/01/15,First Class,RB-19570,OFF-EN-10002504,15,22.0
1184,2022/01/14,2022/01/15,First Class,RB-19570,TEC-PH-10003655,4,8.0
1185,2019/11/24,2019/11/30,Standard Class,HR-14830,OFF-BI-10004656,10,12.0
1186,2019/11/24,2019/11/30,Standard Class,HR-14830,OFF-ST-10002344,437,486.0
1187,2019/11/24,2019/11/30,Standard Class,HR-14830,OFF-PA-10001800,18,26.0
1188,2019/11/24,2019/11/30,Standard Class,HR-14830,OFF-ST-10000036,99,198.0
1189,2022/02/26,2022/02/28,Second Class,BT-11530,OFF-AP-10004532,66,82.0
1190,2022/02/26,2022/02/28,Second Class,BT-11530,TEC-PH-10004447,801,890.0
1191,2022/02/26,2022/02/28,Second Class,BT-11530,FUR-CH-10003973,803,892.0
1192,2022/02/26,2022/02/28,Second Class,BT-11530,OFF-PA-10001970,112,224.0
1193,2022/02/26,2022/02/28,Second Class,BT-11530,OFF-PA-10000682,16,23.0
1194,2020/09/15,2020/09/15,Same Day,NG-18355,OFF-PA-10001937,12,16.0
1195,2020/09/15,2020/09/15,Same Day,NG-18355,FUR-FU-10002268,11,16.0
1196,2020/09/15,2020/09/15,Same Day,NG-18355,OFF-ST-10001321,17,25.0
1197,2020/09/15,2020/09/15,Same Day,NG-18355,FUR-FU-10003394,34,56.0
1198,2021/04/08,2021/04/12,Standard Class,ZC-21910,TEC-AC-10001990,259,432.0
1199,2021/04/08,2021/04/12,Standard Class,ZC-21910,FUR-CH-10004540,67,96.0
1200,2021/04/08,2021/04/12,Standard Class,ZC-21910,OFF-BI-10004995,980,1089.0
1201,2021/07/18,2021/07/24,Standard Class,LS-16945,FUR-CH-10002335,326,544.0
1202,2021/07/18,2021/07/24,Standard Class,LS-16945,OFF-BI-10004967,1,2.0
1203,2021/07/18,2021/07/24,Standard Class,LS-16945,FUR-CH-10002331,598,854.0
1204,2021/07/18,2021/07/24,Standard Class,LS-16945,OFF-ST-10002292,534,594.0
1205,2021/07/18,2021/07/24,Standard Class,LS-16945,OFF-ST-10000689,304,338.0
1206,2022/08/01,2022/08/04,First Class,LH-16750,TEC-PH-10002660,163,272.0
1207,2021/07/14,2021/07/18,Second Class,SW-20755,OFF-ST-10004634,7,11.0
1208,2021/07/14,2021/07/18,Second Class,SW-20755,OFF-BI-10002160,8,9.0
1209,2021/07/14,2021/07/18,Second Class,SW-20755,OFF-FA-10002988,13,14.0
1210,2021/07/14,2021/07/18,Second Class,SW-20755,OFF-AR-10004999,25,42.0
1211,2021/07/14,2021/07/18,Second Class,SW-20755,OFF-BI-10001031,6,9.0
1212,2021/07/14,2021/07/18,Second Class,SW-20755,FUR-BO-10004695,405,579.0
1213,2022/09/09,2022/09/13,Standard Class,SP-20620,FUR-CH-10004860,99,141.0
1214,2022/09/09,2022/09/13,Standard Class,SP-20620,OFF-BI-10002432,2,3.0
1215,2022/09/09,2022/09/13,Standard Class,SP-20620,OFF-BI-10000069,3,5.0
1216,2022/09/09,2022/09/13,Standard Class,SP-20620,OFF-AR-10003602,3,5.0
1217,2022/09/09,2022/09/13,Standard Class,SP-20620,TEC-AC-10004469,86,96.0
1218,2022/09/09,2022/09/13,Standard Class,SP-20620,FUR-FU-10001867,15,17.0
1219,2022/09/09,2022/09/13,Standard Class,SP-20620,TEC-AC-10003174,181,259.0
1220,2022/09/09,2022/09/13,Standard Class,SP-20620,TEC-PH-10002200,1159,1932.0
1221,2019/07/12,2019/07/16,Standard Class,BF-11170,OFF-ST-10000107,200,250.0
1222,2019/07/12,2019/07/16,Standard Class,BF-11170,TEC-PH-10000439,128,256.0
1223,2021/12/04,2021/12/05,First Class,BM-11140,FUR-FU-10001602,57,114.0
1224,2021/12/04,2021/12/05,First Class,BM-11140,TEC-AC-10001432,55,78.0
1225,2021/12/04,2021/12/05,First Class,BM-11140,OFF-BI-10004656,2,2.0
1226,2021/12/04,2021/12/05,First Class,BM-11140,OFF-PA-10001685,37,41.0
1227,2021/12/04,2021/12/05,First Class,BM-11140,OFF-ST-10001418,91,183.0
1228,2021/12/04,2021/12/05,First Class,BM-11140,OFF-ST-10000676,155,194.0
1229,2022/11/06,2022/11/11,Standard Class,ZC-21910,OFF-EN-10001219,8,15.0
1230,2022/11/06,2022/11/11,Standard Class,ZC-21910,FUR-FU-10001424,7,9.0
1231,2022/11/06,2022/11/11,Standard Class,ZC-21910,OFF-AR-10001022,5,6.0
1232,2020/10/31,2020/11/02,Second Class,KT-16480,OFF-AR-10000369,1,3.0
1233,2020/10/31,2020/11/02,Second Class,KT-16480,OFF-EN-10003055,56,80.0
1234,2021/05/30,2021/06/01,First Class,BG-11695,TEC-CO-10001046,420,840.0
1235,2021/10/28,2021/10/28,Same Day,PG-18820,FUR-FU-10000076,43,48.0
1236,2021/10/28,2021/10/28,Same Day,PG-18820,OFF-BI-10003719,30,37.0
1237,2021/10/28,2021/10/28,Same Day,PG-18820,FUR-FU-10003268,51,64.0
1238,2021/10/28,2021/10/28,Same Day,PG-18820,FUR-FU-10003553,116,165.0
1239,2019/08/11,2019/08/15,Standard Class,GM-14680,FUR-FU-10003691,10,12.0
1240,2019/08/11,2019/08/15,Standard Class,GM-14680,OFF-AR-10003903,37,41.0
1241,2019/08/11,2019/08/15,Standard Class,GM-14680,OFF-FA-10004854,21,23.0
1242,2021/08/29,2021/09/04,Standard Class,MO-17800,TEC-PH-10003442,15,22.0
1243,2021/02/15,2021/02/22,Standard Class,PG-18820,OFF-BI-10004519,319,398.0
1244,2021/02/15,2021/02/22,Standard Class,PG-18820,OFF-FA-10000304,5,9.0
1245,2022/05/14,2022/05/21,Standard Class,EJ-14155,OFF-EN-10004955,44,49.0
1246,2019/12/12,2019/12/14,Second Class,NP-18700,FUR-TA-10004619,382,765.0
1247,2019/12/12,2019/12/14,Second Class,NP-18700,FUR-TA-10003473,2889,3611.0
1248,2019/12/12,2019/12/14,Second Class,NP-18700,FUR-BO-10004467,229,255.0
1249,2022/12/18,2022/12/24,Standard Class,DJ-13630,OFF-AR-10002280,19,39.0
1250,2022/12/18,2022/12/24,Standard Class,DJ-13630,FUR-CH-10001708,685,1142.0
1251,2022/12/18,2022/12/24,Standard Class,DJ-13630,OFF-AP-10000891,1023,1705.0
1252,2022/12/18,2022/12/24,Standard Class,DJ-13630,OFF-AR-10000462,2,3.0
1253,2020/07/04,2020/07/09,Standard Class,IM-15070,TEC-PH-10004165,880,1100.0
1254,2022/03/10,2022/03/14,Standard Class,MH-18115,OFF-AR-10003958,5,5.0
1255,2022/03/10,2022/03/14,Standard Class,MH-18115,TEC-PH-10000149,32,36.0
1256,2022/03/10,2022/03/14,Standard Class,MH-18115,FUR-FU-10003724,5,7.0
1257,2022/03/10,2022/03/14,Standard Class,MH-18115,FUR-FU-10003535,35,44.0
1258,2021/12/24,2021/12/28,Second Class,RB-19795,OFF-BI-10001575,17,28.0
1259,2021/12/24,2021/12/28,Second Class,RB-19795,OFF-ST-10003716,486,540.0
1260,2021/12/24,2021/12/28,Second Class,RB-19795,TEC-AC-10004469,153,256.0
1261,2022/10/23,2022/10/27,Standard Class,JR-15700,TEC-PH-10004586,777,864.0
1262,2021/10/28,2021/11/04,Standard Class,SM-20950,OFF-BI-10004236,16,18.0
1263,2022/07/07,2022/07/09,Second Class,CS-12355,OFF-BI-10001634,14,17.0
1264,2021/10/01,2021/10/02,First Class,CC-12220,TEC-PH-10000215,56,70.0
1265,2021/10/01,2021/10/02,First Class,CC-12220,FUR-FU-10003724,21,42.0
1266,2022/09/02,2022/09/07,Standard Class,PF-19225,OFF-AR-10000422,3,7.0
1267,2019/12/24,2019/12/29,Standard Class,JC-16105,OFF-ST-10003306,100,143.0
1268,2019/12/24,2019/12/29,Standard Class,JC-16105,FUR-CH-10001146,205,292.0
1269,2022/09/23,2022/09/27,Standard Class,BG-11695,FUR-FU-10000246,21,29.0
1270,2022/06/04,2022/06/08,Standard Class,DC-12850,OFF-PA-10002870,11,12.0
1271,2021/04/21,2021/04/26,Standard Class,SP-20545,OFF-ST-10000563,72,102.0
1272,2021/04/21,2021/04/26,Standard Class,SP-20545,OFF-AP-10004487,34,49.0
1273,2021/04/21,2021/04/26,Standard Class,SP-20545,OFF-BI-10002854,22,45.0
1274,2021/05/26,2021/05/26,Same Day,MS-17710,OFF-PA-10004621,5,10.0
1275,2021/05/26,2021/05/26,Same Day,MS-17710,FUR-CH-10001973,350,388.0
1276,2021/05/26,2021/05/26,Same Day,MS-17710,OFF-PA-10004040,7,14.0
1277,2021/05/26,2021/05/26,Same Day,MS-17710,TEC-AC-10000580,38,64.0
1278,2021/05/02,2021/05/07,Standard Class,BD-11770,OFF-AR-10004022,69,86.0
